Joke_number,content,irony,parody,hyperbole,wordplay,analogy,sarcasm,misplaced_focus,character
1,illness,Y,,,,,,,
2,couple,Y,,,,,,,
3,celebrity,,,,,,,,Y
4,gender,,,,,,Y,,
5,celebrity,,,,,,Y,,Y
6,celebrity,,,,,,,,Y
7,gender,,,,,,Y,,
8,illness,Y,,,,,,,
9,dress,,,,Y,,,,
10,horror,,,,Y,,,,
11,disaster,,,,,,Y,,
12,family,,,Y,,,,,
13,country,,,,,,Y,,Y
14,couple,,,,Y,,,,
15,food,Y,,,,,,,
16,food,,,,Y,,,,
17,gender,,,,,,Y,,
18,animal,,,,Y,,,,
19,country,,,,,,Y,,Y
20,technology,Y,,,,Y,,,
21,sexual,,,,,Y,,,
22,sexual,Y,,,,,,,
23,country,,,,Y,,,,
24,SNS,,,,,,,,Y
25,sexual,Y,,,,,,,
26,sexual,,,,Y,,,,
27,celebrity,,,,,,,,Y
28,job,,,,Y,,,,
29,country,Y,,,,,,,
30,job,,,,,,Y,,
31,celebrity,,,,,,,,Y
32,religion,,,,,,Y,,
33,country,,,,,,Y,,Y
34,word,,,,Y,,,,
35,danger,Y,,,,,,,
36,country,,,,,,Y,,
37,illness,,,,,,,Y,
38,food,Y,,,,,,,
39,gender,,,,,Y,,,
40,country,,,,,,Y,,
41,sexual,,,,,,Y,,
42,sexual,,,,,Y,,,
43,celebrity,,,,,,,,Y
44,animal,,,,Y,,,,
45,race,,,,,,Y,,
46,sexual,,,,Y,,,,
47,job,Y,,,,,,,
48,major,,,,,,,,Y
49,major,,,,,,,,Y
50,race,,,,,,Y,,
51,celebrity,,,,,,,,Y
52,celebrity,,,,,,Y,,
53,family,Y,,,,,,,
54,religion,,,,Y,,,,
55,family,,,,Y,,,,
56,celebrity,,,Y,,,,,
57,name,,,,Y,,,,
58,mistaken,Y,,,,,,,
59,mistaken,,,,,,,Y,
60,religion,,Y,,,,,,
61,celebrity,,Y,,,,,,
62,Job,,,,Y,,,Y,Y
63,Job,,,,,Y,,,Y
64,disorder,,,,Y,,,,
65,sexual,,,,Y,,,,
66,wealth,,,,,,,Y,
67,marriage,,,,Y,,,,
68,job,,,,,Y,,,
69,marriage,,,,,,,Y,
70,job,,,,,,,Y,
71,computer,Y,,,,,,,
72,rule,,,,,,,Y,
73,celebrity,,,,,,Y,,
74,stalker,,,,Y,,,,
75,gender,,,,,,Y,,
76,accident,Y,,,,,,,
77,politics,,,,Y,,,,
78,politics,,,,,,Y,,
79,stalker,,,,Y,,,,
80,celebrity,,,,,,Y,,
81,country,,,,Y,,,,
82,job,,,,,,,,Y
83,sexual,,,,Y,,,,
84,Job,,,,,Y,,,
85,politics,,,,Y,,,,
86,science,,,,Y,,,,
87,illness,Y,,,,,,,
88,country,,,,Y,,,,Y
89,country,,,,,Y,,,Y
90,Job,,,,Y,,,,
91,animal,,,,Y,,,,
92,job,,,,,,,Y,
93,joke,,,,,,,Y,
94,science,,,,Y,,,,
95,proverb,,,,Y,,,,
96,job,,,,Y,,,,
97,word,,,,Y,,Y,,
98,gender,,,,,Y,,,
99,word,,,,Y,,,,
100,politics,,,,,,Y,,
